link	tag	rank	mu	sigma	content_type
http://media3.giphy.com/media/BE9kUwvLfsAmI/giphy.gif	adam levine,embarassed,the voice,confession,	0	35.92818823777915	1.88084276812386	gif
http://media1.giphy.com/media/NZhO1SEuFmhj2/giphy.gif	ryan gosling,facepalm,embarrassed,confession,	1	35.70238333972232	1.5682929351847998	gif
http://media.giphy.com/media/cuGIZ5SL3JJyE/giphy.gif	giphygooglealert,state,worst,about,policymic,every,stereotype,	2	34.47780733499859	1.7622172796785105	gif
http://media.giphy.com/media/8YwtXCGKxsJi0/giphy.gif	movies,les miserables,	3	34.45307828957432	1.9671951323522985	gif
http://media.giphy.com/media/9BvlvOSmuMCpW/giphy.gif	cartoons & comics,animation,batman,sad but true,superheros,disappoint,	4	34.222416525535266	1.6893430161665715	gif
http://media.giphy.com/media/KmtxC1FXu31fO/giphy.gif	modern family,cam,	5	33.93505764563063	1.4713123994824535	gif
http://media.giphy.com/media/u4PP8qvsj5i1O/giphy.gif	star trek,tng,facepalm,worf,wesley crusher,	6	33.784279761701875	1.5383787067008021	gif
http://media0.giphy.com/media/wMvESGxZ0Cqd2/giphy.gif	frustrated,ryan gosling,	7	33.35825584380598	1.2768236211693829	gif
http://media3.giphy.com/media/6dkAfPaMXgn6/giphy.gif	kitten,loki,hahahaha,diary,end of the world,yeah i went there,enjoy you bastards,loki story,394,	8	32.91236152143023	1.5170990347906745	gif
http://media.giphy.com/media/qIoRMS84az4Zy/giphy.gif	other,nfl,	9	32.882268201107856	1.4777016813558064	gif
http://media.giphy.com/media/E4vIfoWCbdd3a/giphy.gif	cartoons & comics,animation,facepalm,picard,hank hill,	10	32.808348442031416	1.7783783747037363	gif
http://media.giphy.com/media/Jm6W6YDE7jpsY/giphy.gif	animals,cat,grumpy cat,	11	32.64245122603696	1.3812682835559695	gif
http://media.giphy.com/media/p60L4kNY1szqU/giphy.gif	tv,stephen colbert,frustrated,colbert report,facepalm,embarassed,	12	32.426484588293064	1.3778166115911115	gif
http://media.giphy.com/media/Zfel0A5zMsffy/giphy.gif	cartoon,cartoon network,college,q,shame,looney tunes,sylvester,	13	32.42008171480431	1.3200574798940614	gif
http://media.giphy.com/media/iUKt7xkF6jG0M/giphy.gif	frustrated,	14	32.41989112388688	1.3257655133942496	gif
http://media.giphy.com/media/9MqDMAFfvqc1i/giphy.gif	sad,dexter,shower,naked,dexters laboratory,dexters lab,	15	32.380447800735354	1.2645860874179162	gif
http://media.giphy.com/media/lhfnAjmZQHEpa/giphy.gif	reaction,star trek,facepalm,picard,	16	32.35291655973597	1.4033252627274633	gif
http://media.giphy.com/media/xguIA30EAmW08/giphy.gif	gravity falls,nervous,embarassed,	17	32.229747668960236	1.363201342322771	gif
http://media.giphy.com/media/KYWUlOj7TM60o/giphy.gif	cartoons & comics,movie,disney,mulan,disney princess,china,hero,classic disney,disney classic,fiction,chinese,palace,disney heroine,disney hero,	18	32.22578458206293	1.7102378773633826	gif
http://media.giphy.com/media/29BzAuDhcTzfG/giphy.gif	cartoon,awkward,bear,nervous,the critic,	19	32.191977685523625	1.4689283884460376	gif
http://media0.giphy.com/media/zClsuG7FNIZQA/giphy.gif	frustrated,conan,conan obrien,annoyed,	20	32.15629183567699	1.3027481645501866	gif
http://media.giphy.com/media/ystGrJ3SmiTQY/giphy.gif	frustrated,commercial,facepalm,smh,gecko,geico,	21	32.1288087422782	1.2439919109799493	gif
http://media.giphy.com/media/14aUO0Mf7dWDXW/giphy.gif	panda,facepalm,embarrassed,oh no,	22	32.109639392603206	1.5732871512024567	gif
http://media.giphy.com/media/uewmNrMIjCJhK/giphy.gif	film,jennifer lawrence,2012,house at the end of the street,	23	32.00632645049665	1.6475799672298896	gif
http://media.giphy.com/media/12qr7pEbCwBf7W/giphy.gif	movies,gif,tvd,paul wesley,stefan salvatore,	24	31.999418577821782	1.1805882424862078	gif
http://media.giphy.com/media/zo7fY63uxNOE0/giphy.gif	harry potter,draco malfoy,voldemort,	25	31.995610860823028	1.2454547299441336	gif
http://media.giphy.com/media/2S2uEj3bvhIBi/giphy.gif	tv,michael fassbender,carey mulligan,shame,	26	31.96468470051587	1.8176974029824482	gif
http://media.giphy.com/media/f93Ufnd1dTHvq/giphy.gif	no,annoyed,kobe bryant,facepalm,	27	31.908704915036207	1.2415150194004403	gif
http://media.giphy.com/media/5dFto6Am5tMvm/giphy.gif	tv,sad,reactions,facepalm,adam sandler,cry,sob,punch drunk love,	28	31.802852776126674	1.571559585953107	gif
http://media.giphy.com/media/AeD3T6sfERnvG/giphy.gif		29	31.793122132299406	1.3356876902751575	gif
http://media0.giphy.com/media/jUwpNzg9IcyrK/giphy.gif	the simpsons,the simpsons,scared,homer simpson,nervous,confession,walk away,	30	31.766605054061962	1.2793926169639802	gif
http://media.giphy.com/media/Ny7YR0449a012/giphy.gif	movies,sorry,im sorry,	31	31.711010550855576	1.3204389404871535	gif
http://media.giphy.com/media/LmcQrAWB8aTBu/giphy.gif	michael fassbender,h,shame,do not repost,do not use in,feel free to rebloglike,	32	31.592656395373083	1.6836269521262446	gif
http://media.giphy.com/media/gh1PcN7Agxlcc/giphy.gif	facepalm,done,disappointed,give up,	33	31.573818972054962	1.2773430537454427	gif
http://media0.giphy.com/media/102nX8tlIYDkAM/giphy.gif	sad,zooey deschanel,new girl,disappointed,	34	31.570133051856637	1.2934231748867007	gif
http://media3.giphy.com/media/Bcpspr9LTSvss/giphy.gif	frustrated,gordon ramsay,disappointed,hell's kitchen,	35	31.524166641378585	1.2736057920173978	gif
