link	tag	rank	mu	sigma	content_type
http://media.giphy.com/media/rGnsYIj02OBS8/giphy.gif	movies,harry potter,angry,harry,d,shut up,anger,madma,	0	40.46658534375116	2.0296053468398094	gif
http://media.giphy.com/media/fdexUFHLkFZrG/giphy.gif	movies,hitler,	1	39.83486892578059	2.4970318269128975	gif
http://media.giphy.com/media/11AEQxRT2magQo/giphy.gif	movie,film,total film,film news,arnie,kindergarten cop,schwarzenegger,comic book movie,movie news,20th century fox,comic book adaptation,kindergarten heroes,mark millar,	2	38.725253819658995	2.2335285321577203	gif
http://media.giphy.com/media/1080AfGtovINTq/giphy.gif	tv,hbo,angry,frustrated,cell phone,entourage,ari gold,	3	38.45422461079932	2.214859273591783	gif
http://media.giphy.com/media/p9utApQ1JAyTm/giphy.gif		4	37.77578590098218	2.3351933840931083	gif
http://media0.giphy.com/media/14n4jIS7hd6caA/giphy.gif	angry,workaholics,hungry,comedy central,adam devine,adam demamp,	5	37.49357669134109	2.1659241272443794	gif
http://media.giphy.com/media/QEwOB8e9SaxNK/giphy.gif	leonardo dicaprio,shut up,the basketball diaries,	6	37.35383776440428	1.6191727680066978	gif
http://media3.giphy.com/media/6xgslyYQCyLa8/giphy.gif	angry,frustrated,mad,	7	37.34145061187107	1.7491892515783982	gif
http://media3.giphy.com/media/nkOqBHEJ1hcTm/giphy.gif	television,arrested development,george sr,bluth,banana stand,	8	37.094102033149795	1.4966874901773124	gif
http://media.giphy.com/media/F0UIet4lPORI4/giphy.gif	angry,screaming,goth,the craft,fairuza balk,	9	37.066801501446015	2.2804833332745997	gif
http://media.giphy.com/media/SGSHXf63AXnHO/giphy.gif	work,frustrated,stressed,irritated,motel,annoying people,aggrivated,	10	36.642867306674916	1.6870664252747976	gif
http://media1.giphy.com/media/9mQuzr75YPEU8/giphy.gif	bow wow,angry,scream,screaming,upset,fuck you,	11	36.57807313784253	1.587068153908947	gif
http://media.giphy.com/media/mQluQ9dBYgH3W/giphy.gif	tv,movies,gordon ramsay,hells kitchen,	12	36.550650428721376	2.05027656797084	gif
http://media.giphy.com/media/Kcpv9ZnHvWyac/giphy.gif	jennifer lawrence,kesha,meus,katniss,otaku,isabelle fuhrman,otome,grito,felipe neto,olhoagonia,	13	36.19113598117113	1.7162924008066194	gif
http://media1.giphy.com/media/xV9cwjF0Z40LK/giphy.gif	angry,frustrated,my little pony,twilight sparkle,	14	36.05391276889695	1.4823367922009383	gif
http://media0.giphy.com/media/NP8ItVwM9jSE0/giphy.gif	futurama,rage,annoying,hades,head/desk,iming,use full sentences jackass,annoyance,punctuation,all my rage,	15	35.72709458984309	1.5171211208463538	gif
